REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2005-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.6,,,,2
2005-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.59,,,,2
2005-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.6,,,,2
2005-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.67,,,,2
2005-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.55,,,,2
2005-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.31,,,,2
2005-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.26,,,,2
2005-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.32,,,,2
2005-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.3,,,,2
2005-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.39,,,,2
2005-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.56,,,,2
2005-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.6,,,,2
2006-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.65,,,,2
2006-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.75,,,,2
2006-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.78,,,,2
2006-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.88,,,,2
2006-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.05,,,,2
2006-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.12,,,,2
2006-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.26,,,,2
2006-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.24,,,,2
2006-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.13,,,,2
2006-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.01,,,,2
2006-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.99,,,,2
2006-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.89,,,,2
2007-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.91,,,,2
2007-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.0,,,,2
2007-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.91,,,,2
2007-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.92,,,,2
2007-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.01,,,,2
2007-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.51,,,,2
2007-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.6,,,,2
2007-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.62,,,,2
2007-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.61,,,,2
2007-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.69,,,,2
2007-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.73,,,,2
2007-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.75,,,,2
2008-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.81,,,,2
2008-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.72,,,,2
2008-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.6,,,,2
2008-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.4,,,,2
2008-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.21,,,,2
2008-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.2,,,,2
2008-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.37,,,,2
2008-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.25,,,,2
2008-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.16,,,,2
2008-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.46,,,,2
2008-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.51,,,,2
2008-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.17,,,,2
2009-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.78,,,,2
2009-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.28,,,,2
2009-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.14,,,,2
2009-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.79,,,,2
2009-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.62,,,,2
2009-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.9,,,,2
2009-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.14,,,,2
2009-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.13,,,,2
2009-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.97,,,,2
2009-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.0,,,,2
2009-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.06,,,,2
2009-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.83,,,,2
2010-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.8,,,,2
2010-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.73,,,,2
2010-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.71,,,,2
2010-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.15,,,,2
2010-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.3,,,,2
2010-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.18,,,,2
2010-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,5.02,,,,2
2010-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.82,,,,2
2010-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.6,,,,2
2010-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.52,,,,2
2010-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.45,,,,2
2010-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.5,,,,2
2011-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.55,,,,2
2011-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.68,,,,2
2011-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.7,,,,2
2011-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.87,,,,2
2011-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.83,,,,2
2011-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.6,,,,2
