Custom table,Dataflow,Dataflow name,Timespan,Last update of data,Downloaded at,Source,Source URL,Download URL,About Debt service ratios
,"BIS,WS_DSR,1.0",BIS debt service ratio,2005-03-31 - 2024-06-30,2024-12-10,2025-02-01 18:44 CET,BIS,https://data.bis.org/topics/DSR/data?filter=BORROWERS_CTY_TXT%3DCanada%255EDSR_BORROWERS%3DH%255ETIMESPAN%3D2004-12-31_2024-12-31%255EFREQ%3DQ&data_view=table&rows=TIME_PERIOD&cols=,https://data.bis.org/topics/DSR/data?filter=BORROWERS_CTY_TXT%3DCanada%255EDSR_BORROWERS%3DH%255ETIMESPAN%3D2004-12-31_2024-12-31%255EFREQ%3DQ&data_view=table&rows=TIME_PERIOD&cols=&file_format=csv&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/DSR

Period,value
2024-06-30,14.6
2024-03-31,14.4
2023-12-31,14.4
2023-09-30,14.5
2023-06-30,14.4
2023-03-31,14.3
2022-12-31,13.9
2022-09-30,13.6
2022-06-30,13.2
2022-03-31,12.8
2021-12-31,12.7
2021-09-30,12.6
2021-06-30,12.7
2021-03-31,12.3
2020-12-31,12.6
2020-09-30,12.7
2020-06-30,12.9
2020-03-31,13.4
2019-12-31,13.6
2019-09-30,13.7
2019-06-30,13.6
2019-03-31,13.6
2018-12-31,13.6
2018-09-30,13.4
2018-06-30,13.3
2018-03-31,13.1
2017-12-31,13.1
2017-09-30,13.1
2017-06-30,13.1
2017-03-31,13.0
2016-12-31,13.0
2016-09-30,12.9
2016-06-30,12.8
2016-03-31,12.6
2015-12-31,12.5
2015-09-30,12.6
2015-06-30,12.5
2015-03-31,12.6
2014-12-31,12.7
2014-09-30,12.6
2014-06-30,12.6
2014-03-31,12.6
2013-12-31,12.6
2013-09-30,12.7
2013-06-30,12.6
2013-03-31,12.6
2012-12-31,12.7
2012-09-30,12.8
2012-06-30,12.8
2012-03-31,12.7
2011-12-31,12.9
2011-09-30,12.9
2011-06-30,12.8
2011-03-31,12.9
2010-12-31,12.8
2010-09-30,12.8
2010-06-30,12.8
2010-03-31,12.6
2009-12-31,12.7
2009-09-30,12.7
2009-06-30,12.6
2009-03-31,12.7
2008-12-31,12.9
2008-09-30,13.2
2008-06-30,13.3
2008-03-31,13.3
2007-12-31,13.3
2007-09-30,13.0
2007-06-30,12.8
2007-03-31,12.5
2006-12-31,12.5
2006-09-30,12.3
2006-06-30,12.1
2006-03-31,11.9
2005-12-31,11.6
2005-09-30,11.6
2005-06-30,11.4
2005-03-31,11.2
""
