0,1,2,3
"Month Ended October 31, 2024",,,
LOCATION,"Total Number of
Mortgages","Number of Mortgages in
Arrears*","% of Arrears to Total
Number of Mortgages"
ATLANTIC,"342,239",943,0.28%
QUEBEC,"936,820","1,623",0.17%
ONTARIO,"2,194,037","3,727",0.17%
MANITOBA,"118,220",365,0.31%
SASKATCHEWAN,"125,045",731,0.58%
ALBERTA,"585,728","1,736",0.30%
BRITISH COLUMBIA,"703,333","1,161",0.17%
TERRITORIES,"10,333",,
CANADA,"5,015,755","10,286",0.21%
As at:,"(1)
Total
Number of
Mortgages","(2)
Number of
Mortgages
in Arrears","(3)
% of Arrears to
Total Number
of Mortgages"
1995-01,"2,184,443","11,014",0.50%
1995-02,"2,187,413","10,907",0.50%
1995-03,"2,190,111","10,911",0.50%
1995-04,"2,198,548","11,026",0.50%
1995-05,"2,251,909","11,817",0.52%
1995-06,"2,263,144","11,777",0.52%
1995-07,"2,272,417","12,159",0.54%
1995-08,"2,275,759","12,864",0.57%
1995-09,"2,283,512","12,877",0.56%
1995-10,"2,287,413","12,889",0.56%
1995-11,"2,334,070","13,196",0.57%
1995-12,"2,337,380","13,298",0.57%
1996-01,"2,357,036","14,011",0.59%
1996-02,"2,364,380","14,703",0.62%
1996-03,"2,379,316","14,923",0.63%
1996-04,"2,388,234","14,781",0.62%
1996-05,"2,401,407","14,597",0.61%
1996-06,"2,410,312","14,082",0.58%
1996-07,"2,412,206","13,891",0.58%
1996-08,"2,419,000","14,126",0.58%
1996-09,"2,426,517","14,503",0.60%
1996-10,"2,434,788","14,168",0.58%
1996-11,"2,451,382","15,038",0.61%
1996-12,"2,458,078","15,768",0.64%
1997-01,"2,466,705","15,924",0.65%
1997-02,"2,477,748","15,900",0.64%
1997-03,"2,485,009","15,762",0.63%
1997-04,"2,499,266","15,243",0.61%
1997-05,"2,517,230","15,530",0.62%
1997-06,"2,527,225","15,039",0.60%
1997-07,"2,531,451","14,434",0.57%
1997-08,"2,540,022","14,287",0.56%
1997-09,"2,546,970","13,886",0.55%
1997-10,"2,549,424","13,492",0.53%
1997-11,"2,536,709","13,117",0.52%
1997-12,"2,549,411","13,266",0.52%
1998-01,"2,554,534","13,558",0.53%
1998-02,"2,558,910","13,219",0.52%
1998-03,"2,568,133","12,496",0.49%
1998-04,"2,576,213","12,244",0.48%
1998-05,"2,588,778","12,319",0.48%
1998-06,"2,612,379","12,435",0.48%
1998-07,"2,621,330","12,268",0.47%
1998-08,"2,629,010","12,437",0.47%
1998-09,"2,636,916","12,529",0.48%
1998-10,"2,610,319","12,068",0.46%
1998-11,"2,771,846","13,372",0.48%
1998-12,"2,775,466","14,166",0.51%
1999-01,"2,780,335","14,603",0.53%
1999-02,"2,785,220","14,848",0.53%
1999-03,"2,794,209","14,252",0.51%
1999-04,"2,870,113","13,794",0.48%
1999-05,"2,824,255","14,237",0.50%
1999-06,"2,848,498","13,558",0.48%
1999-07,"2,865,027","13,093",0.46%
1999-08,"2,874,581","13,081",0.46%
1999-09,"2,882,541","13,042",0.45%
1999-10,"2,889,610","12,470",0.43%
1999-11,"2,895,206","12,384",0.43%
1999-12,"2,897,961","12,560",0.43%
2000-01,"2,898,883","12,902",0.45%
2000-02,"2,900,880","12,726",0.44%
2000-03,"2,905,237","12,824",0.44%
2000-04,"2,906,210","12,246",0.42%
2000-05,"2,916,326","12,174",0.42%
2000-06,"3,198,234","12,410",0.39%
2000-07,"3,204,458","12,740",0.40%
2000-08,"3,210,566","12,871",0.40%
2000-09,"3,215,539","12,979",0.40%
2000-10,"3,218,864","13,412",0.42%
2000-11,"3,204,229","13,301",0.42%
2000-12,"3,205,023","13,773",0.43%
2001-01,"3,203,784","14,369",0.45%
2001-02,"3,205,315","14,099",0.44%
2001-03,"3,210,714","13,805",0.43%
2001-04,"3,216,897","13,855",0.43%
2001-05,"3,236,100","13,643",0.42%
2001-06,"3,248,772","13,329",0.41%
2001-07,"3,258,864","13,678",0.42%
2001-08,"3,281,694","13,895",0.42%
2001-09,"3,287,833","14,133",0.43%
2001-10,"3,288,140","14,585",0.44%
2001-11,"3,304,228","14,506",0.44%
2001-12,"3,308,758","15,384",0.46%
2002-01,"3,303,565","15,302",0.46%
2002-02,"3,306,602","14,834",0.45%
2002-03,"3,313,415","14,628",0.44%
2002-04,"3,320,103","14,313",0.43%
2002-05,"3,333,312","13,894",0.42%
2002-06,"3,347,107","13,126",0.39%
2002-07,"3,350,684","12,954",0.39%
2002-08,"3,361,231","12,661",0.38%
2002-09,"3,383,451","12,929",0.38%
2002-10,"3,387,783","12,423",0.37%
2002-11,"3,387,315","12,206",0.36%
2002-12,"3,391,818","12,672",0.37%
2003-01,"3,391,829","12,784",0.38%
2003-02,"3,394,147","12,636",0.37%
2003-03,"3,399,535","12,483",0.37%
2003-04,"3,405,264","12,157",0.36%
2003-05,"3,416,510","11,918",0.35%
2003-06,"3,425,780","11,655",0.34%
2003-07,"3,431,428","11,508",0.34%
2003-08,"3,440,334","11,903",0.35%
2003-09,"3,440,820","12,067",0.35%
2003-10,"3,448,011","11,951",0.35%
2003-11,"3,452,854","11,587",0.34%
2003-12,"3,450,442","11,541",0.33%
2004-01,"3,451,703","11,847",0.34%
2004-02,"3,454,346","11,709",0.34%
2004-03,"3,462,443","11,031",0.32%
2004-04,"3,485,056","10,528",0.30%
2004-05,"3,496,749","10,391",0.30%
2004-06,"3,511,679","9,812",0.28%
