realtime_start,realtime_end,date,Mortgage Delinquency Rate
2025-01-31,2025-01-31,1991-01-01,3.09
2025-01-31,2025-01-31,1991-04-01,3.18
2025-01-31,2025-01-31,1991-07-01,3.22
2025-01-31,2025-01-31,1991-10-01,3.28
2025-01-31,2025-01-31,1992-01-01,3.12
2025-01-31,2025-01-31,1992-04-01,3.06
2025-01-31,2025-01-31,1992-07-01,2.88
2025-01-31,2025-01-31,1992-10-01,2.79
2025-01-31,2025-01-31,1993-01-01,2.78
2025-01-31,2025-01-31,1993-04-01,2.67
2025-01-31,2025-01-31,1993-07-01,2.59
2025-01-31,2025-01-31,1993-10-01,2.44
2025-01-31,2025-01-31,1994-01-01,2.39
2025-01-31,2025-01-31,1994-04-01,2.26
2025-01-31,2025-01-31,1994-07-01,2.16
2025-01-31,2025-01-31,1994-10-01,2.06
2025-01-31,2025-01-31,1995-01-01,2.08
2025-01-31,2025-01-31,1995-04-01,2.11
2025-01-31,2025-01-31,1995-07-01,2.16
2025-01-31,2025-01-31,1995-10-01,2.17
2025-01-31,2025-01-31,1996-01-01,2.18
2025-01-31,2025-01-31,1996-04-01,2.26
2025-01-31,2025-01-31,1996-07-01,2.24
2025-01-31,2025-01-31,1996-10-01,2.34
2025-01-31,2025-01-31,1997-01-01,2.30
2025-01-31,2025-01-31,1997-04-01,2.28
2025-01-31,2025-01-31,1997-07-01,2.26
2025-01-31,2025-01-31,1997-10-01,2.20
2025-01-31,2025-01-31,1998-01-01,2.20
2025-01-31,2025-01-31,1998-04-01,2.12
2025-01-31,2025-01-31,1998-07-01,2.09
2025-01-31,2025-01-31,1998-10-01,2.03
2025-01-31,2025-01-31,1999-01-01,1.94
2025-01-31,2025-01-31,1999-04-01,1.88
2025-01-31,2025-01-31,1999-07-01,2.15
2025-01-31,2025-01-31,1999-10-01,1.99
2025-01-31,2025-01-31,2000-01-01,1.95
2025-01-31,2025-01-31,2000-04-01,1.98
2025-01-31,2025-01-31,2000-07-01,2.09
2025-01-31,2025-01-31,2000-10-01,2.23
2025-01-31,2025-01-31,2001-01-01,2.34
2025-01-31,2025-01-31,2001-04-01,2.41
2025-01-31,2025-01-31,2001-07-01,2.19
2025-01-31,2025-01-31,2001-10-01,2.26
2025-01-31,2025-01-31,2002-01-01,2.24
2025-01-31,2025-01-31,2002-04-01,2.16
2025-01-31,2025-01-31,2002-07-01,2.10
2025-01-31,2025-01-31,2002-10-01,2.00
2025-01-31,2025-01-31,2003-01-01,1.97
2025-01-31,2025-01-31,2003-04-01,1.83
2025-01-31,2025-01-31,2003-07-01,1.73
2025-01-31,2025-01-31,2003-10-01,1.76
2025-01-31,2025-01-31,2004-01-01,1.65
2025-01-31,2025-01-31,2004-04-01,1.60
2025-01-31,2025-01-31,2004-07-01,1.56
2025-01-31,2025-01-31,2004-10-01,1.41
2025-01-31,2025-01-31,2005-01-01,1.42
2025-01-31,2025-01-31,2005-04-01,1.55
2025-01-31,2025-01-31,2005-07-01,1.59
2025-01-31,2025-01-31,2005-10-01,1.64
2025-01-31,2025-01-31,2006-01-01,1.61
2025-01-31,2025-01-31,2006-04-01,1.62
2025-01-31,2025-01-31,2006-07-01,1.74
2025-01-31,2025-01-31,2006-10-01,1.92
2025-01-31,2025-01-31,2007-01-01,2.08
2025-01-31,2025-01-31,2007-04-01,2.29
2025-01-31,2025-01-31,2007-07-01,2.71
2025-01-31,2025-01-31,2007-10-01,3.10
2025-01-31,2025-01-31,2008-01-01,3.68
2025-01-31,2025-01-31,2008-04-01,4.36
2025-01-31,2025-01-31,2008-07-01,5.28
2025-01-31,2025-01-31,2008-10-01,6.58
2025-01-31,2025-01-31,2009-01-01,8.01
2025-01-31,2025-01-31,2009-04-01,8.57
2025-01-31,2025-01-31,2009-07-01,9.48
2025-01-31,2025-01-31,2009-10-01,10.40
2025-01-31,2025-01-31,2010-01-01,11.48
2025-01-31,2025-01-31,2010-04-01,11.08
2025-01-31,2025-01-31,2010-07-01,10.66
2025-01-31,2025-01-31,2010-10-01,10.33
2025-01-31,2025-01-31,2011-01-01,10.37
2025-01-31,2025-01-31,2011-04-01,10.55
2025-01-31,2025-01-31,2011-07-01,10.50
2025-01-31,2025-01-31,2011-10-01,10.25
2025-01-31,2025-01-31,2012-01-01,10.33
2025-01-31,2025-01-31,2012-04-01,10.45
2025-01-31,2025-01-31,2012-07-01,10.48
2025-01-31,2025-01-31,2012-10-01,10.02
2025-01-31,2025-01-31,2013-01-01,9.73
2025-01-31,2025-01-31,2013-04-01,9.32
2025-01-31,2025-01-31,2013-07-01,8.66
2025-01-31,2025-01-31,2013-10-01,8.30
2025-01-31,2025-01-31,2014-01-01,7.77
2025-01-31,2025-01-31,2014-04-01,7.43
2025-01-31,2025-01-31,2014-07-01,7.06
2025-01-31,2025-01-31,2014-10-01,6.50
2025-01-31,2025-01-31,2015-01-01,6.24
2025-01-31,2025-01-31,2015-04-01,5.82
