REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2005-01-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,70.1,,,,1
2005-01-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,69.1,,,,1
2005-01-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,73.0,E,,,1
2005-02-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,70.3,,,,1
2005-02-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,69.3,,,,1
2005-02-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,73.1,E,,,1
2005-03-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,70.6,,,,1
2005-03-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,69.6,,,,1
2005-03-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,73.5,E,,,1
2005-04-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,71.0,,,,1
2005-04-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,69.9,,,,1
2005-04-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,73.8,E,,,1
2005-05-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,71.3,,,,1
2005-05-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,70.3,,,,1
2005-05-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,74.2,E,,,1
2005-06-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,71.9,,,,1
